weekend_date,SerailNum,quantity,channel_encoded,brand_encoded,category_encoded,sub_category_encoded
2024-02-03,5,1231,1,0,0,0
2024-02-03,2,141,1,1,2,2
2024-02-03,4,552,1,1,2,2
2024-02-10,4,578,1,0,2,3
2024-02-10,5,243,1,0,0,0
2024-02-10,2,139,1,1,2,2
2024-02-10,4,627,1,1,2,2
2024-02-17,4,426,1,0,2,3
2024-02-17,5,284,1,0,0,0
2024-02-17,2,110,1,1,2,2
2024-02-17,4,350,1,1,2,2
2024-02-24,4,92,1,0,2,3
2024-02-24,5,257,1,0,0,0
2024-02-24,2,143,1,1,2,2
2024-02-24,4,758,1,1,2,2
2024-03-02,4,210,1,0,2,3
2024-03-02,5,254,1,0,0,0
2024-03-02,2,149,1,1,2,2
2024-03-02,4,723,1,1,2,2
2024-03-09,4,840,1,0,2,3
2024-03-09,5,250,1,0,0,0
2024-03-09,2,141,1,1,2,2
2024-03-09,4,762,1,1,2,2
2024-03-16,4,1126,1,0,2,3
2024-03-16,5,283,1,0,0,0
2024-03-16,2,1717,1,1,2,2
2024-03-16,4,8051,1,1,2,2
2024-03-23,4,1138,1,0,2,3
2024-03-23,5,232,1,0,0,0
2024-03-23,2,718,1,1,2,2
2024-03-23,4,639,1,1,2,2
2024-03-30,4,1367,1,0,2,3
2024-03-30,5,296,1,0,0,0
2024-03-30,2,134,1,1,2,2
2024-03-30,4,427,1,1,2,2
2024-04-06,4,1222,1,0,2,3
2024-04-06,5,228,1,0,0,0
2024-04-06,2,144,1,1,2,2
2024-04-06,4,445,1,1,2,2
2024-04-13,4,1341,1,0,2,3
2024-04-13,5,239,1,0,0,0
2024-04-13,2,129,1,1,2,2
2024-04-13,4,917,1,1,2,2
2024-04-20,4,7732,1,0,2,3
2024-04-20,5,715,1,0,0,0
2024-04-20,2,137,1,1,2,2
2024-04-20,4,583,1,1,2,2
2024-04-27,4,3249,1,0,2,3
2024-04-27,5,54,1,0,0,0
2024-04-27,2,184,1,1,2,2
2024-04-27,4,888,1,1,2,2
2024-05-04,4,860,1,0,2,3
2024-05-04,5,42,1,0,0,0
2024-05-04,2,150,1,1,2,2
2024-05-04,4,358,1,1,2,2
2024-05-11,4,1004,1,0,2,3
2024-05-11,5,17,1,0,0,0
2024-05-11,2,153,1,1,2,2
2024-05-11,4,842,1,1,2,2
2024-05-18,4,869,1,0,2,3
2024-05-18,5,16,1,0,0,0
2024-05-18,2,174,1,1,2,2
2024-05-18,4,1024,1,1,2,2
2024-05-25,4,1053,1,0,2,3
2024-05-25,5,12,1,0,0,0
2024-05-25,2,153,1,1,2,2
2024-05-25,4,681,1,1,2,2
2024-06-01,4,1246,1,0,2,3
2024-06-01,5,8,1,0,0,0
2024-06-01,2,181,1,1,2,2
2024-06-01,4,790,1,1,2,2
2024-06-08,4,939,1,0,2,3
2024-06-08,5,4,1,0,0,0
2024-06-08,2,1012,1,1,2,2
2024-06-08,4,4687,1,1,2,2
2024-06-15,4,890,1,0,2,3
2024-06-15,5,1,1,0,0,0
2024-06-15,2,1911,1,1,2,2
2024-06-15,4,4339,1,1,2,2
2024-06-22,4,1078,1,0,2,3
2024-06-22,5,1,1,0,0,0
2024-06-22,2,206,1,1,2,2
2024-06-22,4,698,1,1,2,2
2024-06-29,4,982,1,0,2,3
2024-06-29,5,1,1,0,0,0
2024-06-29,2,178,1,1,2,2
2024-06-29,4,362,1,1,2,2
2024-07-06,4,2612,1,0,2,3
2024-07-06,2,176,1,1,2,2
2024-07-06,4,676,1,1,2,2
2024-07-13,4,7754,1,0,2,3
2024-07-13,2,180,1,1,2,2
2024-07-13,4,662,1,1,2,2
2024-07-20,4,3463,1,0,2,3
2024-07-20,2,245,1,1,2,2
2024-07-20,4,722,1,1,2,2
2024-07-27,4,974,1,0,2,3
2024-07-27,2,141,1,1,2,2
2024-07-27,4,529,1,1,2,2
2024-08-03,4,891,1,0,2,3
2024-08-03,2,151,1,1,2,2
2024-08-03,4,544,1,1,2,2
2024-08-10,4,772,1,0,2,3
2024-08-10,2,171,1,1,2,2
2024-08-10,4,610,1,1,2,2
2024-08-17,4,1003,1,0,2,3
2024-08-17,2,151,1,1,2,2
2024-08-17,4,527,1,1,2,2
2024-08-24,4,1290,1,0,2,3
2024-08-24,2,250,1,1,2,2
2024-08-24,4,775,1,1,2,2
2024-08-31,4,1189,1,0,2,3
2024-08-31,2,180,1,1,2,2
2024-08-31,4,634,1,1,2,2
